RRFNCPBJVPQIPP-UHFFFAOYSA-N,CC(CCC(C)Cl)Cl,25823,1:2|2:2|45:2
RPWFJAMTCNSJKK-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,14425,1:1|2:11|9:2|10:1|77:1|17:3
PWMCEJOFYWFVPA-UHFFFAOYSA-N,CC(=O)OC1C2(CCCC1(CC2)C)C,173489,1:2|2:5|3:1|4:2|21:1
WQMKDHREUPHQQE-UHFFFAOYSA-N,CCCCCCCCCCC#CCCCCC(C)C,118810,1:3|2:13|3:1|66:1
HXMYUSWENPCWFT-UHFFFAOYSA-N,CCCCSCC=C,219614,1:1|2:3|5:1|103:1
LCHYEKKJCUJAKN-UHFFFAOYSA-N,CCCC1=CC=CC=C1O,12570,1:1|2:1|12:1|17:1|9:4
XLYOFNOQVPJJNP-DYCDLGHISA-N,O,139859,16:1
YXEOEPYIBGTLML-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)Cl)O)Cl,17077,9:2|11:1|53:2|17:1
UZKDXESOJFBSJS-JXMYBXCISA-N,CN1C[C@H]2CCC[C@@H](C1)C2(C3=CC=CC=C3)OC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,167996,2:7|3:2|4:2|9:5|10:1|34:1|14:1|24:1|42:3
PKFSEFNWSYNKKM-UHFFFAOYSA-N,CCN(CC)CCOC(C)CO,107106,1:3|2:3|35:1|101:1
WMRCTEPOPAZMMN-UHFFFAOYSA-N,CCCCCCCCCCCC(C(=O)O)C(=O)O,138269,1:1|2:10|3:1|42:2
IHNUKBZLLPOGDS-UHFFFAOYSA-N,CC(C)(C)C1CCC(=C)CC1,139425,1:3|2:4|3:1|4:1|7:1
NQRFAUVGDLHPGH-UHFFFAOYSA-N,CCCCCC(C(=O)O)Br,17503,64:1|1:1|2:4|3:1|42:1
XWJTYEGVQBFZHI-IMPNNSMHSA-N,C[C@H](CCC(=O)O)[C@H]1CCC2=C3CC[C@@H]4C[C@@H](CC[C@@]4([C@H]3C[C@@H]([C@]12C)O)C)O,101818,1:3|2:10|3:6|4:2|70:1|42:1|14:2
FZMPLKVGINKUJZ-UHFFFAOYSA-N,CC1=CC(=C(C=C1)F)F,2733400,9:3|11:1|71:2
LEOBMIVTCWKNCB-UHFFFAOYSA-N,CC(C)(C)C1=CC(=NC=C1)C(C)(C)C,141531,1:6|4:2|39:1
VSCUCHUDCLERMY-UHFFFAOYSA-N,CCC(C)OCC,17586,1:3|2:1|3:1|25:1
LDGQUFYTSFGKFE-UHFFFAOYSA-N,C1CCCCCC(=O)CCCCCCCCC(=O)CCCC1,518880,2:16|19:2
JCCRGQZQICHINY-PLNGDYQASA-N,C/C=C\OCC(C)C,5462934,1:3|3:1|6:1|25:1
HGHGGPKMLBWNBI-UHFFFAOYSA-N,CC1=CC=C(C=C1)OC(=O)C(F)(F)F,137224,9:4|10:1|11:1|74:1|77:1
WOYWLLHHWAMFCB-UHFFFAOYSA-N,CCCCC(CC)COC(=O)C,7635,1:2|2:5|3:1|21:1
NCTBYWFEJFTVEL-UHFFFAOYSA-N,CCC(C)COC(=O)C=C,162070,1:2|2:2|3:1|5:1|77:1
ZKPDXFCMHFRNQC-UHFFFAOYSA-N,CC(=O)CC(=O)C1=CC=CC=N1,12707221,18:1|19:1|38:1
KGIABMDFILVKGN-UHFFFAOYSA-N,CC#CC(=C)C,136709,1:2|66:1|7:1
BUSOTUQRURCMCM-UHFFFAOYSA-N,C1=CC=C(C=C1)OCCC(=O)O,81596,9:5|2:1|42:1|10:1|25:1
DKGAVHZHDRPRBM-SGLLWXCUSA-N,CC(C)(C)O,2723971,1:3|4:1|14:1
ZEXFAVZTIZXHFA-ONEGZZNKSA-N,C/C=C(\C)/O,5463039,8:1|1:2|14:1
CRNSOGJNJXTEQG-ARJAWSKDSA-N,C=C/C(=C/Cl)/Cl,5463151,8:1|5:1|69:2
RAQYGFLFCLNEAB-UHFFFAOYSA-N,CC1=C(C(=CC=C1)O)C(=C)C,86290,1:1|7:1|9:3|10:1|11:1|17:1
QQONPFPTGQHPMA-QNYGJALNSA-N,C(=CC),137051,1:1|5:1
JYVRGXIYJXJIBY-UHFFFAOYSA-N,COC1=CCCCC=C1,145333,8:1|24:1|2:3|6:1
XKPTXCDASJWOLK-UHFFFAOYSA-N,CCCOC(C)OCC,30220,1:3|2:1|3:1|25:2
GRRIMVWABNHKBX-UHFFFAOYSA-N,COC1=CC=CC(=C1)CN,21156,24:1|9:4|10:2|29:1
DHXNZYCXMFBMHE-UHFFFAOYSA-N,C(CBr)C(=O)O,11553,64:1|2:2|42:1
BHYILZSOXKSYCF-UHFFFAOYSA-N,C1CC=CCCC(C(CCC=C1)O)O,107382,2:6|3:2|14:2|6:2
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,C1=CC=C(C=C1)/C=C/C=O,637511,9:5|10:1|20:1|6:1
QVLJLWHOILVHJJ-UHFFFAOYSA-N,CCOC(=O)CC1=CC=NC=C1,736321,1:1|2:1|38:1|22:1
LCUQJELQVHGIJS-UHFFFAOYSA-N,CCCCCCCCCCCC(Br)Br,11324906,64:2|1:1|2:10|3:1
ISYSXHXTFFZRKN-UHFFFAOYSA-N,C(CCC(=O)N(CCO)CCO)CCO,106477,2:7|99:1|14:3
AXUPPSSNJCYJOX-UHFFFAOYSA-N,CC(C)CCC(C(C)(C)C)O,53428763,1:5|2:2|3:2|4:1|14:1
